signal_date,ticker,sector,rank,weight,composite_score,momentum_score,value_score,quality_score,low_vol_score,missing_count,summary
2021-11-30,AAPL,Information Technology,13,0.0245,-0.0999999999999997,-1.0,0.5000000000000004,-0.4999999999999992,0.9999999999999996,0,Momentum weak: combined sector-adjusted momentum is below average; Quality mixed: profitability metrics are not both above sector average; Value supportive: aggregate value score is above sector average; Low volatility supportive: beta below sector average
2021-11-30,AMZN,Consumer Discretionary,15,0.0245,-0.1969508759549547,-0.4313166429881324,-0.3428770135894478,0.3472703881036297,-0.3432711334353026,0,Momentum weak: combined sector-adjusted momentum is below average; Quality mixed: profitability metrics are not both above sector average; Value weak: aggregate value score is below sector average; Low volatility supportive: beta below sector average
2021-11-30,BAC,Financials,2,0.0245,0.4750000000000238,1.0,0.9999999999999982,0.5000000000000971,-1.0,0,Momentum supportive: combined sector-adjusted momentum is positive; Quality mixed: profitability metrics are not both above sector average; Value supportive: aggregate value score is above sector average; Low volatility weak: aggregate low-vol score is below average
2021-11-30,CAT,Industrials,1,0.0245,0.4916666666666668,1.0,0.0,0.5000000000000001,0.3333333333333337,0,Momentum supportive: combined sector-adjusted momentum is positive; Quality positive: ROE and gross margin above sector average; Value weak: aggregate value score is below sector average; Low volatility supportive: aggregate low-vol score is positive
2021-11-30,COST,Consumer Staples,5,0.0245,0.2056667314955375,1.1390647737484754,-0.5993244552412771,0.1474229357061649,-0.115386603726135,0,Momentum supportive: combined sector-adjusted momentum is positive; Quality mixed: profitability metrics are not both above sector average; Value weak: aggregate value score is below sector average; Low volatility weak: aggregate low-vol score is below average
2021-11-30,CVX,Energy,10,0.0245,0.0249999999999997,-1.0,-1.054711873393899e-15,0.4999999999999999,1.0,0,Momentum weak: combined sector-adjusted momentum is below average; Quality mixed: profitability metrics are not both above sector average; Value weak: aggregate value score is below sector average; Low volatility supportive: beta below sector average
2021-11-30,GE,Industrials,20,0.0245,-0.4916666666666665,-1.0,0.0,-0.4999999999999999,-0.3333333333333328,0,Momentum weak: combined sector-adjusted momentum is below average; Quality mixed: profitability metrics are not both above sector average; Value weak: aggregate value score is below sector average; Low volatility supportive: beta below sector average
2021-11-30,GOOGL,Communication Services,8,0.0245,0.0533333333333333,0.3999999999999999,0.4999999999999999,-0.5,-0.333333333333333,0,Momentum supportive: combined sector-adjusted momentum is positive; Quality mixed: profitability metrics are not both above sector average; Value supportive: aggregate value score is above sector average; Low volatility supportive: beta below sector average
2021-11-30,HD,Consumer Discretionary,17,0.0245,-0.2582302068656311,-0.8279329533782778,0.6667175153951536,-0.604143924616934,-0.1274685927335135,0,Momentum weak: combined sector-adjusted momentum is below average; Quality mixed: profitability metrics are not both above sector average; Value supportive: aggregate value score is above sector average; Low volatility supportive: beta below sector average
2021-11-30,JPM,Financials,19,0.0245,-0.4749999999999761,-1.0,-1.0000000000000018,-0.4999999999999028,1.0,0,Momentum weak: combined sector-adjusted momentum is below average; Quality mixed: profitability metrics are not both above sector average; Value weak: aggregate value score is below sector average; Low volatility supportive: beta below sector average
2021-11-30,KO,Consumer Staples,6,0.0245,0.1048939538359481,-0.0086196928012247,-0.300396823443689,-0.0661030259589394,0.9955241201348634,0,Momentum weak: combined sector-adjusted momentum is below average; Quality positive: ROE and gross margin above sector average; Value weak: aggregate value score is below sector average; Low volatility supportive: beta below sector average
2021-11-30,META,Communication Services,12,0.0245,-0.0533333333333332,-0.3999999999999999,-0.5,0.5,0.3333333333333336,0,Momentum weak: combined sector-adjusted momentum is below average; Quality positive: ROE and gross margin above sector average; Value weak: aggregate value score is below sector average; Low volatility supportive: aggregate low-vol score is positive
2021-11-30,MRK,Health Care,4,0.0245,0.228373903304938,1.2256289924145625,-1.0478620553637903,0.5267181467500502,-0.045144086329978,0,Momentum strong: sector-adjusted mom_12_1 in top decile; Quality positive: ROE and gross margin above sector average; Value weak: aggregate value score is below sector average; Low volatility weak: aggregate low-vol score is below average
2021-11-30,MSFT,Information Technology,7,0.0245,0.1000000000000002,1.0,-0.4999999999999996,0.5000000000000007,-1.0000000000000002,0,Momentum supportive: combined sector-adjusted momentum is positive; Quality mixed: profitability metrics are not both above sector average; Value weak: aggregate value score is below sector average; Low volatility weak: aggregate low-vol score is below average
2021-11-30,NKE,Consumer Discretionary,3,0.0245,0.455181082820585,1.2592495963664103,-0.3238405018057065,0.2568735365133044,0.4707397261688125,0,Momentum strong: sector-adjusted mom_12_1 in top decile; Quality mixed: profitability metrics are not both above sector average; Value weak: aggregate value score is below sector average; Low volatility supportive: aggregate low-vol score is positive
2021-11-30,PFE,Health Care,9,0.0245,0.047660203827986,-1.1269281629218086,0.7904467025526613,-0.1948867039913198,1.1842432653209665,0,Momentum weak: combined sector-adjusted momentum is below average; Quality positive: ROE and gross margin above sector average; Value supportive: aggregate value score is above sector average; Low volatility supportive: beta below sector average
2021-11-30,PG,Consumer Staples,14,0.0245,-0.10900937042947,0.2214646276485696,-0.396100363321901,0.1390726826557244,-0.5559591927874842,0,Momentum supportive: combined sector-adjusted momentum is positive; Quality mixed: profitability metrics are not both above sector average; Value weak: aggregate value score is below sector average; Low volatility supportive: beta below sector average
2021-11-30,UNH,Health Care,18,0.0245,-0.2760341071329243,-0.0987008294927534,0.2574153528111286,-0.3318314427587301,-1.1390991789909894,0,Momentum weak: combined sector-adjusted momentum is below average; Quality mixed: profitability metrics are not both above sector average; Value supportive: aggregate value score is above sector average; Low volatility weak: aggregate low-vol score is below average
2021-11-30,WMT,Consumer Staples,16,0.0245,-0.2015513149020157,-1.3519097085958205,1.2958216420068664,-0.22039259240295,-0.3241783236212439,0,Momentum weak: combined sector-adjusted momentum is below average; Quality mixed: profitability metrics are not both above sector average; Value supportive: aggregate value score is above sector average; Low volatility supportive: beta below sector average
2021-11-30,XOM,Energy,11,0.0245,-0.0250000000000003,1.0,-9.992007221626409e-16,-0.5000000000000001,-1.0,0,Momentum supportive: combined sector-adjusted momentum is positive; Quality mixed: profitability metrics are not both above sector average; Value weak: aggregate value score is below sector average; Low volatility weak: aggregate low-vol score is below average
